department,question
ohs,1.     Require development of an inspection routine?
ohs,2.     Affect Health and/ or Safety regulatory commitments?
ohs,3.     Require an increase in or the introduction of a dangerous or hazardous substances?
ohs,4.     Affect current emergency response/ contingency plans?
ohs,5.     Affect current training modules?
ohs,6.     Affect current induction module?
ohs,7.     Affect industrial hygiene management?
ohs,8.     Affect chemical management?
ohs,9.     Affect cyanide management?
ohs,10.   Require an update or reinforcement of contractor safety?
ohs,11.   Affect fire prevention and control management?
ohs,12.   Require alteration or impairment to any fire detection or suppression system?
ohs,"13.   Require alteration or need for additional safety showers, emergency alarms?"
ohs,14.   Affect energy isolation management?
ohs,15.   Affect electrical safety management?
ohs,16.   Affect work permit systems?
ohs,17.   Affect machine guarding management?
ohs,18.   Affect explosives storage or transportation management?
ohs,19.   Affect road safety management?
ohs,20.   Affect working at heights?
ohs,21.   Affect boiler/ pressure vessel/ compressed gas systems management?
ohs,22.   Affect noise and vibration management?
ohs,23.   Affect dust management?
ohs,24.   Affect working alone management?
ohs,25.   Affect any other safety and/ or health management issues on site?
environmental,1.     Require development of an inspection routine?
environmental,2.     Affect Environmental regulatory commitments?
environmental,3.     Require an increase in or the introduction of a dangerous or hazardous substances?
environmental,4.     Affect current emergency response/ contingency plans?
environmental,5.     Affect current training modules?
environmental,6.     Affect current induction module?
environmental,7.     Require waste minimization to be considered and implemented where appropriate?
environmental,8.     Involve any potential hazardous waste?
environmental,9.     Affect hydrocarbon management?
environmental,10.   Affect chemical management?
environmental,11.   Affect cyanide management?
environmental,12.   Affect waste rock management?
environmental,13.   Affect tailings management?
environmental,14.   Affect process waste management?
environmental,15.   Affect closure planning and provisioning?
environmental,16.   Affect water management?
environmental,17.   Affect noise and vibration external to site management?
environmental,18.   Affect dust management?
environmental,19.   Affect air emission management?
environmental,"20.   Require new or amendments to existing permits, licenses, or other regulatory approvals?"
supply,1.     Require removal item in current stock requirements?
supply,2.     Affect current catalog of MSDS sheets?
supply,3.     Affect any current contractual agreements?
supply,4.     Require requisitions for this change to occur?
supply,5.     Require major equipment purchase?
supply,6.     Has a cost analysis been completed?
supply,7.     Require any new stock to be included in the store inventory?
srd,1.     Influence future Social Impact Assessments?
srd,2.     Affect Human Rights awareness?
srd,3.     Affect local community investment?
srd,4.     Affect local employment and business support?
srd,5.     Affect indigenous employment and business support?
srd,6.     Affect management of culturally significant and religious sites?
srd,7.     Affect external permitting and permissions?
srd,8.     Affect Government relations?
srd,9.     Be a concern to the community?
srd,10.   Impact negatively on the community?
srd,11.   Affect media relations?
srd,12.   Create potential opportunity for activist critics?
srd,13.   Affect investor relations (non-media)?
mining,"1.     Affect digger availability, productivity and/ or performance?"
mining,"2.     Affect truck availability, productivity and/ or performance?"
mining,"3.     Affect drill availability, productivity and/ or performance?"
mining,4.     Affect personnel availability and/ or productivity?
mining,5.     Affect equipment/ vehicle interaction?
mining,6.     Affect part or equipment longevity?
mining,7.     Cause an increase in consumable use and/ or costs?
mining,"8.     Affect overall daily production in terms of tonnes, mine grade and/ or development?"
mining,9.     Affect shifts and/ or shift time management?
mining,10.   Affect use of major equipment?
mining,11.   Affect drill and blast?
mining,12.   Affect pit wall control and/ or pit wall control management?
mining,13.   Affect void control and/ or void control management?
mining,"14.   Affect short, mid and/ or long term planning?"
mining,15.   Affect cycle time and/ or cycle time management?
mining,16.   Affect or require update of any measurement or tracking systems?
engineering,1.     Affect any engineering specifications?
engineering,2.     Affect other maintenance objectives?
engineering,3.     Affect current strategic maintenance plans including KPIs?
engineering,4.     Affect processes in place to monitor the maintenance plan and associated KPIs?
engineering,5.     Affect individual responsibilities within the maintenance plan?
engineering,6.     Affect recording and tracking of total direct and indirect cost of maintenance?
engineering,7.     Affect scheduling/ implementation/ recording/ tracking of maintenance activities?
engineering,8.     Affect equipment performance or reliability?
engineering,9.     Affect formal periodic equipment inspection system currently in place?
engineering,10.   Affect routine lubrication program in place?
engineering,11.   Require the establishment of alert and danger limits for equipment operating parameters (e.g bearing vibration alerts?
engineering,12.   Affect equipment specifications or service manuals?
engineering,13.   Affect parts and resource needs?
engineering,14.   Affect code requirements and standards?
engineering,15.   Affect agreements with the parts or equipment supplier or dealer?
engineering,16.   Require spare parts to be regularly maintained?
engineering,17.   Require a rebuilding program to be scheduled?
engineering,18.   Require additional supervision when carrying out tasks associated with change?
engineering,19.   Affect a current documented job analyses or similar administrative procedure?
engineering,20.   Require the organization of training of personnel who will be carrying out associated tasks?
engineering,21.   Require any training conducted be recorded and tracked?
engineering,"22.   Affect current audit systems to monitor safety, quality, productivity or reliability?"
engineering,23.   Affect the computerized maintenance management system?
engineering,24.   Require maintenance plan to be updated?
engineering,25.   Require isolation permit requirements or any other workplace interruptions?
engineering,26.   Affect or require updates to any drawings and/ or plans or other controlled documents?
engineering,27.   Affect contracted personnel currently employed?
engineering,28.   Affect our energy and greenhouse gas emission targets or commitments?
engineering,29.   Require an energy assessment to identify opportunities for associated energy savings?
engineering,30.   Create or deny opportunities for energy savings?
engineering,31.   Affect our energy assessment (budget)?
engineering,32.   Require power factors to be known?
engineering,33.   Include considerations of peak load times?
processing,1.     Include consideration of optimization of cost and availability of spare parts?
processing,"2.     Influence metallurgical tracking, balancing and/ or accounting, including reconciliation?"
processing,3.     Affect processing KPIs?
